Interprete;Codigo;Nome;Trecho;Idioma
Molejo;3637;SAMBA DIFERENTE;Quem samba com molejo samba diferente;BRA
Monique Kessous;15244;CALMA AÍ;Calma aí pera aí não espere tanto desse amor;BRA
Moody Blues;4625;FOR MY LADY;My boat sails stormy;EUA
Moraes Moreira;3033;BRASIL PANDEIRO;Chegou a hora dessa gente bronzeada;BRA
Moraes Moreira;3801;LÁ VEM O BRASIL DESCENDO A LADEIRA;Quem desce do morro não morre no asfalto;BRA
Moraes Moreira;3718;POMBO CORREIO;Pombo correio voa depressa;BRA
Moraes Moreira;4296;SINTONIA;Escute essa canção;BRA
Morris Albert;4515;FEELINGS;Feelings nothing more than feelings trying to;EUA
Muleke Travesso;3400;VOCÊ EM MIM;Hoje eu me encontro na solidão;BRA
Munhoz e Mariano;15282;A BELA E O FERA;Ela é mistério cheia de segredos ele é;BRA
Munhoz e Mariano;15312;PANTERA COR-DE-ROSA;Toda produzida jeitinho de santinha;BRA
Munhoz e Mariano - João Neto e Frederico;15211;BALADA LOUCA;Meu deus do céu aonde é que eu tô;BRA
Música Junina;3044;CHEGOU A HORA DA FOGUEIRA;Chegou a hora da fogueira;BRA
Música Junina;3174;NOITES DE JUNHO;Noite fria tão fria de junho;BRA
Música Junina;3209;PEDRO, ANTÔNIO E JOÃO;Com a filha de João Antonio ia se casaar;BRA
Música Junina;3225;PULA A FOGUEIRA;Pula a fogueira iaiá;BRA
Naldo Benny (Naldo);15218;DEIXA EU TE PEGAR;Ôôôô...Naldo na veia Naldo...;BRA
Naldo Benny (Naldo) - Fat Joe;15316;SE JOGA;Se joga se joga joga no meu colo e vem;BRA
Nana Caymmi;6580;NÃO TEM SOLUÇÃO;Aconteceu um novo amor...;BRA
Nana Caymmi;3259;SÓ LOUCO;Só louco amou como eu amei;BRA
Nara Leão;6575;MEDITAÇÃO;Quem acreditou no amor no...;BRA
Natalie Cole;4555;UNFORGETTABLE;Unforgettable that's what...;EUA
Natiruts;4406;O CARCARÁ E A ROSA;Olhe vá em frente não se...;BRA
Nazareth;4734;LOVE HURTS;Love hurts love scars love...;EUA
Nego do Borel - Anitta - Wesley Safadão;16170;VOCÊ PARTIU MEU CORAÇÃO;"Você partiu meu coração
";BRA
Negra Li;15276;TUDO DE NOVO;Uh uh uh... Talvez você sinta que algo especial ;BRA
Negritude Júnior;3693;ABSOLUTA;Não seja deselegante...;BRA
Negritude Júnior;3029;BEIJO GELADINHO;Tô te vendo tô sentindo...;BRA
Negritude Júnior;3411;COHAB CITY-VEM PRA CÁ;Tô chegando na Cohab pra...;BRA
Negritude Júnior;3834;CONTO DE FADAS;Não posso negar que você...;BRA
Negritude Júnior;3467;É DEMAIS;Gosto muito de você não...;BRA
Negritude Júnior;3116;INDIFERENÇA;A gente já não fala mais...;BRA
Negritude Júnior;4485;NÃO VOU NEGAR;Não vou negar Você ficou...;BRA
Negritude Júnior;6071;O BEM QUE VOCÊ ME FAZ;Tô ficando preocupado;BRA
Negritude Júnior;3762;OLHOS VERMELHOS;As coisas já não andam bem...;BRA
Negritude Júnior;3766;QUE DURE PARA SEMPRE;Você está aí sozinha eu...;BRA
Negritude Júnior;3640;TANAJURA;Tana... tanajura jura que me ama;BRA
Negritude Júnior;3545;TIC-TIC-TAC;Bate forte o tambor...;BRA
Negritude Júnior;3820;VOCÊ FAZ FALTA;Falta alguma coisa no ar;BRA
Nelson Gonçalves;3453;A VOLTA DO BOÊMIO;Boemia aqui me tens de...;BRA
Nelson Gonçalves;3697;CARINHOSO;Meu coração não sei por que;BRA
Nelson Gonçalves;6054;CHÃO DE ESTRELAS;Minha vida era um palco iluminado;BRA
Nelson Gonçalves;6574;MARIA BETHÂNIA;Maria Bethânia tu és para mim a senhora;BRA
Nelson Gonçalves;6542;NAQUELA MESA;Naquela mesa ele sentava sempre e me dizia;BRA
Nelson Gonçalves;6638;ÚLTIMO DESEJO;Nosso amor que eu não...;BRA
Nelson Ned;3498;TUDO PASSARÁ;Eu te dei meu amor;BRA
Nenhum de Nós;4306;CAMILA, CAMILA;Depois da última noite...;BRA
Nenhum de Nós;6460;EU CAMINHAVA;Eu caminhava minhas pernas...;BRA
Nenhum de Nós;3436;O ASTRONAUTA DE MÁRMORE;A lua inteira agora é um...;BRA
Netinho;3013;AMOR CALIENTE;Convidei-a para dançar;BRA
Netinho;3906;BARRACOS (ESCOMBROS);Pra quem mora lá no morro;BRA
Netinho;3829;BEIJO NA BOCA;Foi sem querer que eu beijei a sua boca;BRA
Netinho;3040;CAPRICHO DOS DEUSES;Numa noite de lua ah uma...;BRA
Netinho;3053;COMO?;Como vou deixar você;BRA
Netinho;3794;FIM DE SEMANA;Fim de semana é sexta feira;BRA
Netinho;3152;MENINA;Menina que um dia eu conheci criança;BRA
Netinho;3577;MENINA LINDA;Óh menina linda tão bela;BRA
Netinho;3626;MILLA;Oh Milla mil e uma noites de amor com;BRA
Netinho;4453;PRA SEMPRE EU VOU TE AMAR;Quanto tempo longe de você;BRA
Netinho;3895;PRA TE TER AQUI;Me sinto tão sozinho por que não vem me;BRA
Netinho;3443;PRECISO DE VOCÊ;Fui atrás do que restou...;BRA
Netinho;3445;RAINHA DO BAILE;Quem és tú rainha do baile?;BRA
Netinho;3271;TOTAL;Total que me importa se duvidas;BRA
Ney Matogrosso;15204;A COR DO DESEJO;A tua boca anda oca;BRA
Ney Matogrosso;3114;"HOMEM COM ""H""";Nunca vi rastro de cobra;BRA
Ney Matogrosso;15266;POEMA;Eu hoje tive um pesadelo e levantei atento a tempo;BRA
Nickelback;19377;FAR AWAY;"This time this place
";EUA
Nikka Costa;4748;ON MY OWN;Sometimes I wonder where I've been;EUA
Nilton César;4350;FÉRIAS NA ÍNDIA;À Índia fui em férias passear;BRA
Nina Simone;6581;NE ME QUITTE PAS;Ne me quitte pas Il faut oublier;FRA
Nino Rosso;3665;IO CHE NON VIVO SENZA TE;Siamo qui noi soli come ogni sera;ITA
Oba Oba Samba House;15300;I LOVE YOU BABY;Tudo o que eu queria era ouvir você dizer;BRA
Olivia Newton John;4510;DON'T CRY FOR ME ARGENTINA;It won't be easy you'll think it's strange when I;EUA
Olivia Newton John;4630;HAVE YOU NEVER BEEN MELLOW;There was a time when I was;EUA
Olivia Newton John;4638;LET ME BE THERE;Wherever you go;EUA
Olivia Newton John;4754;PHYSICAL;I'm sayin' all the things that I know you;EUA
Olodum;3236;REQUEBRA;Oh Requebra requebra requebra sim;BRA
O Rappa;15255;ME DEIXA;Lalalararaaa... Podem avisar pode avisar;BRA
Orlando Morais;15181;NA PAZ;Meu amor onde está você te liguei só pra;BRA
Orlando Silva;6613;LÁBIOS QUE BEIJEI;Lábios que beijei mãos que eu afaguei;BRA
Orlando Silva;6424;NADA ALÉM;Nada além nada além de uma ilusão;BRA
Orquestra da Terra;3489;REI DO GADO;Sou desse chão onde o rei...;BRA
Os Araganos;6007;CÉU, SOL, SUL, TERRA E COR;Eu quero andar Nas coxilhas;BRA
Os Cariocas;3109;GAROTA DE IPANEMA;Olha que coisa mais linda;BRA
Os Morenos;4391;CORDEIRINHO;Não vou negar eu faço jus à fama;BRA
Os Morenos;3140;MARROM BOM BOM;A gente tem tudo pra dar certo;BRA
Os Travessos;6410;DISTÂNCIA;Tanto tempo longe tanto tempo sem se ver;BRA
Os Travessos;4442;MEU QUERUBIM;Sempre quando A noite vem;BRA
Os Travessos;6506;QUER ME MACHUCAR;Nunca amei alguém assim desse jeito;BRA
Os Travessos;4414;TÔ TE FILMANDO (SORRIA);Toda vez que eu vejo você sinto uma;BRA
Os Travessos;4299;TU MANDAS NO MEU CORAÇÃO;Não sei quanto tempo o tempo deixou;BRA
Os Travessos;6078;UM DIA PRA NÓS DOIS;"""Preciso te ver saber se você vai me olhar";BRA
Oswaldo Montenegro;4263;AGONIA;Se fosse resolver iria te dizer;BRA
Oswaldo Montenegro;3828;BANDOLINS;Como fosse um par que nessa valsa;BRA
Oswaldo Montenegro;3473;LUA E FLOR;Eu amava como amava um cantor;BRA
Oswaldo Montenegro;15195;TODO MUNDO É LOBO POR DENTRO (PETULANTE);Você me disse que eu sou petulante né;BRA
Oswaldo Montenegro;15196;TRAVESSURAS;Eu insisto em cantar diferente do que;BRA
Parabéns a Você;3205;PARABÉNS A VOCÊ;Parabéns pra você nessa data querida;BRA
Paralamas do Sucesso;3602;A NOVIDADE;A novidade veio dar à praia;BRA
Paralamas do Sucesso;6046;AONDE QUER QUE EU VÁ;Olhos fechados pra te encontrar;BRA
Paralamas do Sucesso;4388;ASSALTARAM A GRAMÁTICA;Assaltaram a gramática uo ô;BRA
Paralamas do Sucesso;6530;CUIDE BEM DO SEU AMOR;A vida sem freio me leva me arrasta me cega;BRA
Paralamas do Sucesso;3571;LA BELLA LUNA;Por mais que eu pense,;BRA
Paralamas do Sucesso;3526;LANTERNA DOS AFOGADOS;Quando tá escuro e ninguém te ouve;BRA
Paralamas do Sucesso;3667;LOURINHA BOMBRIL;Para e repara, olha como ela samba;BRA
Paralamas do Sucesso;3149;MELÔ DO MARINHEIRO;Sabe de uma coisa rapaz;BRA
Paralamas do Sucesso;3155;MEU ERRO;Eu quis dizer você não quis escutar;BRA
Paralamas do Sucesso;3532;O BECO;No beco escuro explode a violência;BRA
Paralamas do Sucesso;6501;O CALIBRE;Eu vivo sem saber até quando ainda estou vivo;BRA
Paralamas do Sucesso;3195;ÓCULOS;Se as meninas do Leblon;BRA
Paralamas do Sucesso;3769;ROMANCE IDEAL;Ela é só uma menina e eu pagando pelos;BRA
Paralamas do Sucesso;6591;SEGUINDO ESTRELAS;Sigo palavras e busco estrelas o que é que;BRA
Paralamas do Sucesso;3281;UMA BRASILEIRA;Rodas em sol trovas em do;BRA
Paralamas do Sucesso;3688;VOCÊ;Você é algo assim é tudo pra mim;BRA
Pat Boone;4536;LOVE LETTERS IN THE SAND;On a day like today;EUA
Pato Fú;4309;DEPOIS;Não foi dessa vez mas pode ter certeza;BRA
Patrícia Marx;3079;ESPELHO D'ÁGUA;Hum seus olhos são espelhos d'água;BRA
Patrícia Marx;6416;FESTA DO AMOR;Uô uô uh uô... No livro de leitura que você me;BRA
Patrícia Marx;3226;QUANDO CHOVE;Quando olho nos teus olhos;BRA
Patrick Hernandez;4690;BORN TO BE ALIVE;Born born to be alive yes we were born;EUA
Patrick Swayze;4767;SHE'S LIKE THE WIND;She's like the wind through my tree;EUA
Patrulha do Samba;4335;RALA NO PEZINHO;Menina chega pra cá;BRA
Patti Page;4506;CHANGING PARTNERS;We were waltzing together to a;EUA
Patti Page;4586;I WENT TO YOUR WEDDING;I went to your wedding altho' I was;EUA
Paula Fernandes;15169;CUIDAR MAIS DE MIM;Eu vim falar do que eu perdi;BRA
Paula Fernandes;15173;EU SEM VOCÊ;Eu tô carente desse teu abraço;BRA
Paula Fernandes;15306;NÃO FUI EU;Ei escuta pare de agir feito criança escuta;BRA
Paula Fernandes;15190;SE O CORAÇÃO VIAJAR;Sabe só agora eu pude abrir os olhos;BRA
Paula Fernandes;15197;UM SER AMOR;Você veio inteiro como o dia;BRA
Paul Anka;4620;CRAZY LOVE;Crazy love it's just a crazy love I love you;EUA
Paul Anka;4509;DIANA;I'm so young and you're so old this my darling;EUA
Paul Anka;4646;PAPA;Every day my Papa would work to;EUA
Paul Anka;4758;PUPPY LOVE;And they called it puppy love;EUA
Paulinho da Viola ;4315;FOI UM RIO QUE PASSOU EM MINHA VIDA;Se um dia meu coração...;BRA
Paulinho da Viola ;6623;NERVOS DE AÇO;Você sabe o que é ter um amor meu;BRA
Paul McCartney;4705;EBONY AND IVORY;Ebony and ivory live together in perfect;EUA
Paul McCartney;4746;NO MORE LONELY NIGHTS;I can wait another day until I call you;EUA
Paulo Diniz;3765;PINGOS DE AMOR;A vida passa, telefono e você;BRA
Paulo Diniz;3735;UM CHOPE PRA DISTRAIR;Ela passou, deixando um sorriso no;BRA
Paulo Ricardo;3910;DOIS;Quando você disse nunca mais;BRA
Paulo Sérgio;4486;NO DIA EM QUE PARTI;No dia em que parti Você chorou;BRA
Paulo Sérgio;3734;ÚLTIMA CANÇÃO;Esta é a última canção que eu faço;BRA
Pedro e Thiago;6411;É MELHOR ASSIM;Eu só vim pra te falar good bye good by;BRA
Pedro e Thiago;6584;PRA ONDE VOCÊ FOR (WHEREVER YOU WILL GO);De noite eu penso quem estará no meu;BRA
Pedro Luís;15214;CAIO NO SUINGUE;Eu caio no suingue é pra me consolar;BRA
Pe. Fábio de Mello;4356;IÊ IÊ IÊ DE JESUS;Iê iê iê... Ou ou ou... Reza reza reza;BRA
Pe. Fábio de Mello;4328;O VIRA DE JESUS;E os homens por que vieram;BRA
Pe. Fábio de Mello;15191;SEJA BEM-VINDO;Pode chegar seja bem vindo ao coração;BRA
Peggy Lee;4529;JOHNNY GUITAR;Play the guitar play it again my Johnny;EUA
Pe. Marcelo-Chitãozinho e Xororó;6025;PARABÉNS PRA JESUS;Tudo que nós já vivemos;BRA
Pena Branca e Xavantinho;6480;VIOLA QUEBRADA;Quando da brisa no açoite a flor da noite;BRA
Peninha;4464;ARREPIA;Nós estamos dando certo;BRA
Peninha;4359;MATEMÁTICA;Você gosta de sonhar olhando as estrelas;BRA
Peninha;3936;SONHOS;Tudo era apenas uma brincadeira;BRA
Pepê e Nenem;6015;ESPERANDO PRA TE AMAR;Hum ah ah ah Ié... Esse seu jeito bom;BRA
Pepê e Nenem;4401;NADA ME FAZ ESQUECER;Na na na... Se você for embora vou fingir;BRA
Pepê e Nenem;4324;NA MAIOR;Lua de cristal sonho perigoso de viver;BRA
Pepeu Gomes;3256;SEXY YEMANJÁ;A noite vai ter lua cheia;BRA
Peppino Di Capri;3830;CHAMPAGNE;Champagne per brindare a un incontro;ITA
Peppino Di Capri;3681;ROBERTA;Lo sai non e vero che non ti voglio pi;ITA
Percy Sledge;4801;WHEN A MAN LOVES A WOMAN;When a man loves a woman;EUA
Pericles;16937;MELHOR EU IR;Melhor eu ir tudo bem vai ser melhor;BRA
Péricles;16873;ATE QUE DUROU;Tentei fazer valer a pena;BRA
Peri Ribeiro;3010;ALGUÉM COMO TU;Alguém como tu;BRA
Perla;4452;PEQUENINA;Pequenina do meu amor;BRA
Perlla-Belo;7939;DEPOIS DO AMOR;Eu quero mais um pouco mais depois do amor;BRA
Perry Como;4564;AND I LOVE YOU SO;And I love you so the people ask me how how;EUA
Peter Paul and Mary;4501;500 MILES;If you miss the train I'm on you will know that;EUA
Peter Paul and Mary;4648;PUFF;Puff the magic dragon lived by the sea;EUA
Phil Collins;4680;ANOTHER DAY IN PARADISE;She calls out to the man on the street;EUA
Phil Collins;4751;ONE MORE NIGHT;One more night... I've been trying;EUA
Pique Novo;6008;CHEGA DE SOFRER;Há tempo você não me liga;BRA
Pique Novo;6519;UMA ESTRELA;Conversei com uma estrela caminhando pelas;BRA
Pirilampo e Saracura;3694;BOIADEIRO ERRANTE;Eu venho vindo de uma querência distante;BRA
Pirilampo e Saracura;3460;CABECINHA NO OMBRO;Encosta tua cabecinha no meu ombro e;BRA
Pirlimpimpim;3129;LINDO BALÃO AZUL;Eu vivo sempre no mundo da lua;BRA
Pixote;4382;A LUA E EU;Tanto tempo se passou a lua e eu;BRA
Pixote;4438;FRENESI;Nada se compara ao nosso amor;BRA
Platters (The);4543;ONLY YOU;Only you can make this world;EUA
Platters (The);4769;SMOKE GETS IN YOUR EYES;They asked me how I knew My true love;EUA
Platters (The);4785;THE GREAT PRETENDER;Oh yes, I'm the great pretender;EUA
Plebe Rude;6048;ATÉ QUANDO ESPERAR;Não é nossa culpa nascemos já com uma;BRA
P.O. BOX;4444;NÃO TÔ ENTENDENDO;Conheci uma garota Supergata de;BRA
P.O. BOX;4368;PAPO DE JACARÉ;Tô viajando na onda dessa menina;BRA
Police (The);4576;EVERY BREATH YOU TAKE;Every breath you take every move you;EUA
Police (The);4763;ROXANNE;Roxanne you don't have to put on the red light;EUA
Pollo-Ivo Mozart;15198;VAGALUMES;Vou caçar mais de um milhão de vagalumes;BRA
Preto no Branco;3369;MARAVILHOSA;Estou sabendo que o seu caso de amor;BRA
Procol Harum;4666;A WHITER SHADE OF PALE;We skipped the light fandango and turned;EUA
Quarteto em CY-MPB4;4271;FALANDO DE AMOR;Se eu pudesse por um dia esse amor e;BRA
Queen;19370;BOHEMIAN RHAPSODY;"Is this the real life is this just fantasy
";EUA
Queen;4797;WE ARE THE CHAMPIONS;I've paid my dues time after time;EUA
Raça Negra;3461;CAROLINE;Você veio pra me fazer feliz;BRA
Raça Negra;3046;CHEIA DE MANIAS;Cheia de manias toda dengosa;BRA
Raça Negra;3463;CIGANA;Não deixe o tempo acabar com o nosso;BRA
Raça Negra;3049;CIÚME DE VOCÊ;Se você demora mais um pouco eu fico louco;BRA
Raça Negra;4310;DEUS ME LIVRE;Te amo mas não quero;BRA
Raça Negra;3083;ESTOU MAL;Eu pensei que fosse fácil te esquecer;BRA
Raça Negra;3072;É TARDE DEMAIS;Olha só você depois de me perder;BRA
Raça Negra;3120;JEITO FELINO;Só de pensar que sua boca;BRA
Raça Negra;3137;MARAVILHA;Foi bom te encontrar foi bom te;BRA
Raça Negra;3146;ME LEVA JUNTO COM VOCÊ;No mel do seu beijo tem o gosto do;BRA
Raça Negra;3196;OI (ESTOU TE AMANDO);É legal demais ter você pra mim;BRA
Raça Negra;3482;O QUE EU FAÇO SEM VOCÊ;O que eu faço sem você;BRA
Raça Negra;3212;PENSANDO EM VOCÊ;Sempre que estou sozinho fico pensando;BRA
Raça Negra;3634;PRECISO DESSE AMOR;À noite no meu quarto, solidão;BRA
Raça Negra;3537;PRECISO TER ALGUÉM;De novo a solidão bateu, eu vou chora;BRA
Raça Negra;3231;QUE PENA;Que pena tudo acabar que pena você me;BRA
Raça Negra;3491;SEU AMOR JÁ TERMINOU;Seu amor já terminou você já nem liga;BRA
Raça Negra;3258;SÓ COM VOCÊ;Eu não quero mais fazer amor à toa;BRA
Raça Negra;3494;SOZINHO;Todo aquele sonho que sonhei;BRA
Raça Negra;3495;TE QUERO COMIGO;Não dá pra ficar sem você;BRA
Raça Negra-Reginaldo Rossi;6491;DEIXA DE BANCA;Parabadá... pará paradá... Deixa de banca;BRA
Rádio Táxi;3425;EVA;Meu amor olha só hoje o sol não apareceu;BRA
Raimundos;4342;A MAIS PEDIDA;Nesse show não entra menor;BRA
Raimundos;3879;I SAW YOU SAYING;Reconheci a Madonna ali parada no jardim;BRA
Raimundos;4283;MULHER DE FASES;Que mulher ruim jogou minhas coisas fora;BRA
Raul Gil;15254;LONAS AZUIS;No caminho da sorte a alma perdi;BRA
Raul Sampaio;15188;QUEM EU QUERO NÃO ME QUER;Quem eu quero não me quer quem me quer;BRA
Raul Seixas;3652;CAPIM GUINÉ;Plantei um sítio no sertão de Piritiba;BRA
Raul Seixas;3089;EU NASCI HÁ DEZ MIL ANOS ATRÁS;Um dia numa rua da cidade eu vi um;BRA
Raul Seixas;3327;GITA;Eu que já andei pelos quatro cantos do mundo;BRA
Raul Seixas;3133;MALUCO BELEZA;Enquanto você se esforça pra ser;BRA
Raul Seixas;3147;MEDO DA CHUVA;É pena que você pense que eu sou seu;BRA
Raul Seixas;3760;METAMORFOSE AMBULANTE;Eu prefiro ser essa metamorfose ambulante;BRA
Raul Seixas;3897;"ROCK DAS ""ARANHA""";Subi no muro do quintal e vi uma transa que;BRA
Raul Seixas;6512;SOCIEDADE ALTERNATIVA;Viva viva viva a Sociedade Alternativa;BRA
Raul Seixas;6033;TENTE OUTRA VEZ;Veja não diga que a Canção está perdida;BRA
Raul Seixas;3687;TREM DAS 7;Ói, ói o trem vem surgindo de trás das;BRA
Ray Charles;4519;I CAN'T STOP LOVING YOU;Those happy hours that we once knew;EUA
Ray Charles;4554;UNCHAIN MY HEART;Unchain my heart;EUA
Razão Brasileira;3088;EU MENTI;Eu menti quando disse que não te queria;BRA
Razão Brasileira;3715;NATURALMENTE;Entre nós dois talvez possa acontecer;BRA
Reginaldo Rossi;4262;A RAPOSA E AS UVAS;Lembro com muita saudade daquele baile;BRA
Reginaldo Rossi;4480;LEVIANA;Eu te amei me entreguei;BRA
Renato e Seus Blue Caps;3922;MENINA LINDA;Ah! Deixa essa boneca faça-me o favor;BRA
Renato Russo;6539;MAIS UMA VEZ;Mas é claro que o sol vai voltar amanhã;BRA
Renato Russo;3639;STRANI AMORI;Mi dispiace deve andare via;ITA
Restart;15246;CARA DE SANTA;Ela me ligou disse tô nem aí ;BRA
Ricardo Chaves;3185;O BICHO;Quando o vento bater nos seus cabelos;BRA
Richard Marx;4747;NOW AND FOREVER;Whenever I'm weary;EUA
Richie Valens;4704;DONNA;Oh Donna Oh Donna... I had a girl;EUA
Rick e Renner;4266;CARA DE PAU;Eu não tenho vergonha na cara;BRA
Rick e Renner;6571;EU SEM VOCÊ;Meus dias sem te ver são difíceis de viver;BRA
Rick e Renner;4395;FIM DE SEMANA;Do jeito que você me olha você me;BRA
Rick e Renner;4362;MULEKA;Gruda gruda na cintura da muleka;BRA
Rick e Renner;6027;PRA FICAR DEZ;É pra remexer Pra requebrar;BRA
Rick e Renner;6510;SÓ PENSANDO EM VOCÊ;Recordações não param de atormentar;BRA
Rick e Renner;4460;VEM ME NAMORAR;Você revolucionou a minha vida;BRA
Ricky Martin;3574;MARIA;"Un dos tres um pasito pa\'delante Maria
";ESP
Righteous Brothers (The);4553;UNCHAINED MELODY;Oh my love my darling;EUA
Rionegro e Solimões;4261;A GENTE SE ENTREGA;Uma dose de saudade misturada com;BRA
Rionegro e Solimões;4389;BATE O PÉ;Alô galera bate a mão e bate o pé;BRA
Rionegro e Solimões;6459;ESTRELA GUIA;Eu não sei o que vou fazer da minha;BRA
Rionegro e Solimões;4312;FALTA VOCÊ;O dia vai se acabando a tarde vai se;BRA
Rionegro e Solimões;4439;FRIO DA MADRUGADA;Sei que você quer voltar Quem sou eu pra;BRA
Rionegro e Solimões;6620;NA SOLA DA BOTA;É na sola da bota é na palma da mão;BRA
Rionegro e Solimões;15310;O COWBOY VAI TE PEGAR;O cowboy vai te pegar o cowboy vai te;BRA
Rionegro e Solimões;6024;ORVALHO DA SAUDADE;Saudade faz cair orvalho;BRA
Rionegro e Solimões;4375;SÓ LEMBRANÇAS;Pra quem vive de saudade;BRA
Rionegro e Solimões;6593;TEMPORAL DE LÁGRIMAS;Quando a saudade chega sofre o coração;BRA
Rionegro e Solimões;6437;TÔ POR AÍ;Tô por aí por toda cidade curtindo saudade;BRA
Rita Lee;6523;AGORA SÓ FALTA VOCÊ;Um belo dia resolvi mudar e fazer tudo o que eu;BRA
Rita Lee;3509;BAILA COMIGO;Baila comigo;BRA
Rita Lee;3025;BANHO DE ESPUMA;Que tal nós dois numa banheira;BRA
Rita Lee;3041;CASO SÉRIO;Eu fico pensando em nós dois;BRA
Rita Lee;3610;COISAS DA VIDA;Quando a lua apareceu;BRA
Rita Lee;3061;DESCULPE O AUÊ;Desculpe o auê;BRA
Rita Lee;3065;DOCE VAMPIRO;Venha me beijar meu doce vampiro;BRA
Rita Lee;3103;FLAGRA;Xá xap xap xa á... No escurinho do cinema;BRA
Rita Lee;4357;JARDINS DA BABILÔNIA;Suspenderam os jardins da Babilônia;BRA
Rita Lee;3124;LANÇA PERFUME;Lança menina lança todo esse perfume;BRA
Rita Lee;3135;MANIA DE VOCÊ;Meu bem você me dá água na boca;BRA
Rita Lee;3674;NEM LUXO NEM LIXO;Como vai você? Assim como eu;BRA
Rita Lee;6022;O AMOR EM PEDAÇOS;Vivemos sob o mesmo teto;BRA
Rita Lee;3201;OVELHA NEGRA;Levava uma vida sossegada;BRA
Rita Pavone;3701;DATEMI UN MARTELO (REMIX);Tiú rú tiú rá... Datemi un martelo che cosa ne;ITA
Ritchie;3434;MENINA VENENO;Meia noite no meu quarto;BRA
Ritchie;3440;PELO INTERFONE;Chamo por você ninguém atende;BRA
Roberta Flack;4530;KILLING ME SOFTLY WITH HIS SONG;Strumming my pain with his fingers;EUA
Roberta Miranda;3360;DÓI;Dói sentir que o nosso amor;BRA
Roberta Miranda;3521;EU TE AMO, TE AMO, TE AMO;Tanto tempo longe de você;BRA
Roberta Miranda;3331;MEU DENGO;Vem cá meu dengo ai ai ai ai ai;BRA
Roberta Miranda;4365;NO CORAÇÃO A PAIXÃO NA CABEÇA O CIÚME;Depois de tanta solidão mil vezes o m;BRA
Roberta Miranda;3344;SÃO TANTAS COISAS;São tantas coisas só nós sabemos;BRA
Roberta Miranda;3396;VÁ COM DEUS;A cada dia que se passa;BRA
Roberto Carlos;4421;A GUERRA DOS MENINOS;Hoje eu tive um sonho que foi o mais;BRA
Roberto Carlos;3012;AMADA AMANTE;Esse amor demais antigo;BRA
Roberto Carlos;3825;AMANTE À MODA ANTIGA;Eu sou aquele amante à moda antiga;BRA
Roberto Carlos;3403;AMIGO;Você meu amigo de fé meu irmão camarada;BRA
Roberto Carlos;6045;AMOR SEM LIMITE;Quando a gente ama alguém de verdade;BRA
Roberto Carlos;15242;A MULHER QUE EU AMO;A mulher que eu amo tem a pele morena;BRA
Roberto Carlos;3905;AS CANÇÕES QUE VOCÊ FEZ PRA MIM;Hoje eu ouço as canções que você fez;BRA
Roberto Carlos;3309;CAFÉ DA MANHÃ;Amanhã de manhã vou pedir um café;BRA
Roberto Carlos;3050;COISA BONITA;Amo você assim e não sei pra que;BRA
Roberto Carlos;3314;COMO É GRANDE O MEU AMOR POR VOCÊ;Eu tenho tanto pra lhe falar mas com;BRA
Roberto Carlos;3700;COMO VAI VOCÊ?;Como vai você?;BRA
Roberto Carlos;3315;CORAÇÃO;Com o coração na voz e o grito mais;BRA
Roberto Carlos;4469;CUSTE O QUE CUSTAR;Já nem sei dizer Se sou feliz ou não;BRA
Roberto Carlos;3063;DETALHES;Não adianta nem tentar;BRA
Roberto Carlos;4432;DE TANTO AMOR;Ah! Eu vim aqui amor só pra me despedir;BRA
Roberto Carlos;3074;EMOÇÕES;Quando eu estou aqui;BRA
Roberto Carlos;3080;ESQUEÇA (FORGET HIM);Esqueça se ele não te ama;BRA
Roberto Carlos;3087;EU E ELA;Um grande amor começa agora;BRA
Roberto Carlos;3751;EU PRECISO DE VOCÊ;Eu preciso de você;BRA
Roberto Carlos;4270;EU TE DAREI O CÉU;Eu te darei o céu meu bem;BRA
Roberto Carlos;3913;FALANDO SÉRIO;Falando sério é bem melhor você parar;BRA
Roberto Carlos;4352;FORÇA ESTRANHA;Eu vi um menino correndo eu vi o tem;BRA
Roberto Carlos;15233;JOGO DE DAMAS;Eu sei da sua vida e do seu passado;BRA
Roberto Carlos;4320;LADY LAURA;Tenho às vezes vontade de ser;BRA
Roberto Carlos;3881;LOBO MAU;Eu sou do tipo que não gosta de casamento;BRA
Roberto Carlos;3580;MULHER DE 40;Sorriso bonito olhar de quem sabe;BRA
Roberto Carlos;3164;MULHER PEQUENA;Quando uma mulher pequena;BRA
Roberto Carlos;4402;NAMORADINHA DE UM AMIGO MEU;Estou amando loucamente;BRA
Roberto Carlos;6425;NEGRO GATO;Eu sou o negro gato de arrepiar e essa minha;BRA
Roberto Carlos;15309;O AMOR É MAIS;Pra saber o que é o amor é preciso amar;BRA
Roberto Carlos;6023;O CALHAMBEQUE;Essa é uma das muitas histórias...;BRA
Roberto Carlos;15237;O HOMEM;Um certo dia um homem esteve aqui;BRA
Roberto Carlos;15238;O HOMEM BOM;Vai como um vento solto numa campina;BRA
Roberto Carlos;3336;O PROGRESSO;Eu queria poder afagar;BRA
Roberto Carlos;3338;OS SEUS BOTÕES;Os botões da blusa;BRA
Roberto Carlos;3200;OUTRA VEZ;Você foi o maior dos meus casos;BRA
Roberto Carlos;15185;PELO AVESSO;E você reservada tão quieta não fala;BRA
