Interprete;Codigo;Nome;Trecho;Idioma
Bruno e Marrone;15199;VIDRO FUMÊ;Foi num telefonema anônimo;BRA
Bryan Adams;4706;EVERYTHING I DO (I DO IT FOR YOU);Look into my eyes you will see;EUA
Bryan Adams;4713;HEAVEN;Oh thinkin' about all our younger years;EUA
Bryan Adams;4755;PLEASE FORGIVE ME;It still feels like our first night together;EUA
Caetano Veloso;3741;BELEZA PURA;Não me amarra dinheiro não;BRA
Caetano Veloso;3867;CHUVA, SUOR E CERVEJA;Não se perca de mim;BRA
Caetano Veloso;3837;DEBAIXO DOS CARACÓIS DOS SEUS CABELOS;Um dia a areia branca seus pés irão;BRA
Caetano Veloso;3070;É HOJE;A minha alegria atravessou o mar;BRA
Caetano Veloso;4276;LONDON LONDON;I'm wandering round and round;EUA
Caetano Veloso;3668;LUA DE SÃO JORGE;Lua de São Jorge, lua deslumbrante;BRA
Caetano Veloso;4286;O LEÃOZINHO;Gosto muito de te ver leãozinho;BRA
Caetano Veloso;4409;QUALQUER COISA;Esse papo já tá qualquer coisa;BRA
Caetano Veloso;3723;QUEIXA;Um amor assim delicado;BRA
Caetano Veloso;3246;SAMPA;Alguma coisa acontece no meu coração;BRA
Caetano Veloso;6439;TRILHOS URBANOS;O melhor o tempo esconde longe muito longe;BRA
Caetano Veloso;3292;VOCÊ É LINDA;"Fonte de mel nos olhos de gueixa
";BRA
Caetano Veloso - Gal Costa;3937;SORTE;Tudo de bom que voce me fizer;BRA
Caetano Veloso - Gilberto Gil;6533;DESDE QUE O SAMBA E SAMBA;A tristeza e senhora desde que o samba;BRA
Caetano Veloso - Jorge Mautner;6594;TODO ERRADO;Eu no peco desculpa e nem peco perdo;BRA
Capital Inicial;6445;A SUA MANEIRA;Ela dormiu no calor dos meus braços;BRA
Capital Inicial;6607;COMO DEVIA ESTAR;Folhas verdes caem no jardim coisas que;BRA
Capital Inicial;4318;INDEPENDÊNCIA;Toda essa curiosidade;BRA
Capital Inicial;6538;MAIS;É sempre frio é tão estranho podia ser perfeito;BRA
Capital Inicial;3165;MÚSICA URBANA;Contra todos contra ninguém;BRA
Capital Inicial;6069;NATASHA;Tem dezessete anos e fugiu de casa;BRA
Capital Inicial;6505;QUATRO VEZES VOCÊ;Rafael tá trancado há dois dias no banheiro;BRA
Capital Inicial;15194;SOL ENTRE NUVENS;Várias portas num quarto pequeno;BRA
Capital Inicial-Kiko Zambianchi;6028;PRIMEIROS ERROS;Meu caminho é cada manhã;BRA
Carlinhos Brown;3601;A NAMORADA;Ei bicho o broto do seu lado;BRA
Carlos Gonzaga;6632;SERENO;Sereno da madrugada caindo no meu;BRA
Carlos Oliva e Los Sobrinos;3368;MACARENA;Dale a tu cuerpo alegria Macarena;ESP
Carly Simon;4695;COMING AROUND AGAIN;Baby sneezes momy pleases daddy breezes;EUA
Carnaval;3782;ALLAH LA ÔH;Allah la ô, ô ô ô... Mas que calor;BRA
Carnaval;3783;AURORA;Se você fosse sincera ô, ô, ô, ô...;BRA
